Route,Cost,Region,Time
Distribution Centre Auckland--Countdown Airport--Distribution Centre Auckland,335.25625,SR1,1.490027777777778
Distribution Centre Auckland--Countdown Mangere East--Distribution Centre Auckland,278.86125,SR1,1.2393833333333333
Distribution Centre Auckland--Countdown Mangere Mall--Distribution Centre Auckland,279.525625,SR1,1.242336111111111
Distribution Centre Auckland--Countdown Manukau--Distribution Centre Auckland,372.27624999999995,SR1,1.654561111111111
Distribution Centre Auckland--Countdown Manukau Mall--Distribution Centre Auckland,386.825625,SR1,1.719225
Distribution Centre Auckland--Countdown Manurewa--Distribution Centre Auckland,397.10999999999996,SR1,1.7649333333333332
Distribution Centre Auckland--Countdown Papakura--Distribution Centre Auckland,547.66375,SR1,2.4340611111111112
Distribution Centre Auckland--Countdown Papatoetoe--Distribution Centre Auckland,358.455,SR1,1.5931333333333333
Distribution Centre Auckland--Countdown Takanini--Distribution Centre Auckland,423.7125,SR1,1.8831666666666667
Distribution Centre Auckland--SuperValue Flatbush--Distribution Centre Auckland,309.10625,SR1,1.3738055555555555
Distribution Centre Auckland--SuperValue Papakura--Distribution Centre Auckland,439.178125,SR1,1.9519027777777778
Distribution Centre Auckland--Countdown Airport--Countdown Mangere East--Distribution Centre Auckland,586.06375,SR1,2.6047277777777778
Distribution Centre Auckland--Countdown Airport--Countdown Mangere Mall--Distribution Centre Auckland,569.936875,SR1,2.533052777777778
Distribution Centre Auckland--Countdown Airport--Countdown Manukau--Distribution Centre Auckland,665.29875,SR1,2.9568833333333333
Distribution Centre Auckland--Countdown Airport--Countdown Manukau Mall--Distribution Centre Auckland,680.3725000000001,SR1,3.023877777777778
Distribution Centre Auckland--Countdown Airport--Countdown Manurewa--Distribution Centre Auckland,685.99625,SR1,3.048872222222222
Distribution Centre Auckland--Countdown Airport--Countdown Papakura--Distribution Centre Auckland,841.210625,SR1,3.738713888888889
Distribution Centre Auckland--Countdown Airport--Countdown Papatoetoe--Distribution Centre Auckland,659.58,SR1,2.9314666666666667
Distribution Centre Auckland--Countdown Airport--Countdown Takanini--Distribution Centre Auckland,717.2587500000001,SR1,3.187816666666667
Distribution Centre Auckland--Countdown Airport--SuperValue Flatbush--Distribution Centre Auckland,601.46,SR1,2.6731555555555557
Distribution Centre Auckland--Countdown Airport--SuperValue Papakura--Distribution Centre Auckland,732.725,SR1,3.256555555555556
Distribution Centre Auckland--Countdown Mangere East--Countdown Mangere Mall--Distribution Centre Auckland,524.673125,SR1,2.3318805555555557
Distribution Centre Auckland--Countdown Mangere East--Countdown Manukau--Distribution Centre Auckland,607.425,SR1,2.6996666666666664
Distribution Centre Auckland--Countdown Mangere East--Countdown Manukau Mall--Distribution Centre Auckland,621.974375,SR1,2.7643305555555555
Distribution Centre Auckland--Countdown Mangere East--Countdown Manurewa--Distribution Centre Auckland,632.25875,SR1,2.8100388888888888
Distribution Centre Auckland--Countdown Mangere East--Countdown Papakura--Distribution Centre Auckland,782.8125,SR1,3.4791666666666665
Distribution Centre Auckland--Countdown Mangere East--Countdown Papatoetoe--Distribution Centre Auckland,594.4725,SR1,2.6420999999999997
