Average Demands,Mon to Fri,Sat,Zone
Countdown Airport,7.1,4.75,SR1
Countdown Auckland City,8.05,3.5,SR1
Countdown Aviemore Drive,7.7,4,SR1
Countdown Birkenhead,8,4.25,SR1
Countdown Blockhouse Bay,7.2,2.25,SR1
Countdown Botany Downs,8.2,3.5,SR1
Countdown Browns Bay,8.15,4.25,SR1
Countdown Glenfield,7.05,4.5,SR1
Countdown Greenlane,8.35,3.5,SR1
Countdown Grey Lynn,8.6,3,SR1
Countdown Grey Lynn Central,8.3,5.5,SR1
Countdown Hauraki Corner,7.3,4.25,SR1
Countdown Henderson,7.9,4.25,SR1
Countdown Highland Park,7.65,2.75,SR1
Countdown Hobsonville,8.6,6,SR1
Countdown Howick,8.95,4,SR1
Countdown Kelston,8.15,4,SR1
Countdown Lincoln Road,8.4,4.5,SR1
Countdown Lynfield,8.15,3.5,SR1
Countdown Lynmall,6.95,4,SR1
Countdown Mairangi Bay,8.7,3.5,SR1
Countdown Mangere East,7.95,3.5,SR1
Countdown Mangere Mall,7.15,3.75,SR1
Countdown Manukau,7.55,6,SR1
Countdown Manukau Mall,8.35,3.75,SR1
Countdown Manurewa,8.05,3.5,SR1
Countdown Meadowbank,8,4.25,SR1
Countdown Meadowlands,8.15,3,SR1
Countdown Metro Albert Street,4.25,0,SR1
Countdown Metro Halsey Street,3.85,0,SR1
Countdown Milford,8.25,3.5,SR1
Countdown Mt Eden,7.65,4.75,SR1
Countdown Mt Roskill,8,4.25,SR1
Countdown Mt Wellington,8.55,3.75,SR1
Countdown Newmarket,7.5,3.25,SR1
Countdown Northcote,7.45,4.5,SR1
Countdown Northwest,7.9,3.25,SR1
Countdown Onehunga,7.7,3.75,SR1
Countdown Pakuranga,7.55,3.25,SR1
Countdown Papakura,7.2,4.5,SR1
Countdown Papatoetoe,8.75,2.75,SR1
Countdown Ponsonby,8.65,3.25,SR1
Countdown Pt Chevalier,8.2,4.5,SR1
Countdown Roselands,8.55,4.75,SR1
Countdown St Johns,7.2,3.5,SR1
Countdown St Lukes,7.05,3,SR1
Countdown Sunnynook,8.5,3.25,SR1
Countdown Sylvia Park,8.2,3.5,SR1
Countdown Takanini,8,4.5,SR1
Countdown Takapuna,7.7,2.5,SR1
Countdown Te Atatu,7.6,3.75,SR1
Countdown Te Atatu South,7.9,3.5,SR1
Countdown Three Kings,9.05,4,SR1
Countdown Victoria Street West,9.4,4,SR1
Countdown Westgate,8.15,5.5,SR1
FreshChoice Glen Eden,4.1,0,SR1
FreshChoice Half Moon Bay,4.6,0,SR1
FreshChoice Mangere Bridge,4.6,0,SR1
FreshChoice Otahuhu,3.75,0,SR1
FreshChoice Ranui,4.75,0,SR1
SuperValue Avondale,4.45,0,SR1
SuperValue Flatbush,4.65,0,SR1
SuperValue Palomino,4.85,0,SR1
SuperValue Papakura,4.75,0,SR1
SuperValue Titirangi,4.35,0,SR1
