Route, Time [min] 
SR1
Distribution Centre Auckland--Countdown Airport--Countdown Mangere East--Distribution Centre Auckland, 156.28366666666668
Distribution Centre Auckland--Countdown Airport--Countdown Mangere Mall--Distribution Centre Auckland, 151.98316666666668
Distribution Centre Auckland--Countdown Airport--Countdown Manukau--Distribution Centre Auckland, 177.413
Distribution Centre Auckland--Countdown Airport--Countdown Manukau Mall--Distribution Centre Auckland, 181.43266666666668
Distribution Centre Auckland--Countdown Airport--Countdown Manurewa--Distribution Centre Auckland, 182.93233333333333
Distribution Centre Auckland--Countdown Airport--Countdown Papakura--Distribution Centre Auckland, 201.82283333333334
Distribution Centre Auckland--Countdown Airport--Countdown Papatoetoe--Distribution Centre Auckland, 175.888
Distribution Centre Auckland--Countdown Airport--Countdown Roselands--Distribution Centre Auckland, 207.53166666666667
Distribution Centre Auckland--Countdown Airport--Countdown Takanini--Distribution Centre Auckland, 191.269
Distribution Centre Auckland--Countdown Airport--SuperValue Flatbush--Distribution Centre Auckland, 160.38933333333335
Distribution Centre Auckland--Countdown Airport--SuperValue Papakura--Distribution Centre Auckland, 180.39333333333335
Distribution Centre Auckland--Countdown Mangere East--Countdown Mangere Mall--Distribution Centre Auckland, 139.91283333333334
Distribution Centre Auckland--Countdown Mangere East--Countdown Manukau--Distribution Centre Auckland, 161.98
Distribution Centre Auckland--Countdown Mangere East--Countdown Manukau Mall--Distribution Centre Auckland, 165.85983333333334
Distribution Centre Auckland--Countdown Mangere East--Countdown Manurewa--Distribution Centre Auckland, 168.60233333333332
Distribution Centre Auckland--Countdown Mangere East--Countdown Papakura--Distribution Centre Auckland, 186.25
Distribution Centre Auckland--Countdown Mangere East--Countdown Papatoetoe--Distribution Centre Auckland, 158.52599999999998
Distribution Centre Auckland--Countdown Mangere East--Countdown Roselands--Distribution Centre Auckland, 191.95899999999997
Distribution Centre Auckland--Countdown Mangere East--Countdown Takanini--Distribution Centre Auckland, 175.69633333333334
Distribution Centre Auckland--Countdown Mangere East--SuperValue Flatbush--Distribution Centre Auckland, 145.13466666666665
Distribution Centre Auckland--Countdown Mangere East--SuperValue Papakura--Distribution Centre Auckland, 164.82049999999998
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manukau--Distribution Centre Auckland, 163.73433333333332
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manukau Mall--Distribution Centre Auckland, 167.61416666666668
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manurewa--Distribution Centre Auckland, 170.35666666666668
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Papakura--Distribution Centre Auckland, 188.00433333333336
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Papatoetoe--Distribution Centre Auckland, 163.25683333333333
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Roselands--Distribution Centre Auckland, 193.71333333333334
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Takanini--Distribution Centre Auckland, 177.4505
Distribution Centre Auckland--Countdown Mangere Mall--SuperValue Flatbush--Distribution Centre Auckland, 146.889
Distribution Centre Auckland--Countdown Mangere Mall--SuperValue Papakura--Distribution Centre Auckland, 166.57483333333334
Distribution Centre Auckland--Countdown Manukau--Countdown Manukau Mall--Distribution Centre Auckland, 167.81233333333336
Distribution Centre Auckland--Countdown Manukau--Countdown Manurewa--Distribution Centre Auckland, 177.59983333333332
Distribution Centre Auckland--Countdown Manukau--Countdown Papakura--Distribution Centre Auckland, 191.5076666666667
Distribution Centre Auckland--Countdown Manukau--Countdown Papatoetoe--Distribution Centre Auckland, 167.67333333333332
Distribution Centre Auckland--Countdown Manukau--Countdown Roselands--Distribution Centre Auckland, 197.21666666666667
Distribution Centre Auckland--Countdown Manukau--Countdown Takanini--Distribution Centre Auckland, 180.95383333333334
Distribution Centre Auckland--Countdown Manukau--SuperValue Flatbush--Distribution Centre Auckland, 145.97633333333334
Distribution Centre Auckland--Countdown Manukau--SuperValue Papakura--Distribution Centre Auckland, 170.07816666666668
Distribution Centre Auckland--Countdown Manukau Mall--Countdown Manurewa--Distribution Centre Auckland, 181.47966666666667
Distribution Centre Auckland--Countdown Manukau Mall--Countdown Papakura--Distribution Centre Auckland, 195.28733333333332
Distribution Centre Auckland--Countdown Manukau Mall--Countdown Papatoetoe--Distribution Centre Auckland, 174.84366666666668
Distribution Centre Auckland--Countdown Manukau Mall--Countdown Roselands--Distribution Centre Auckland, 200.99633333333333
