Route,Cost,Region,Time
Distribution Centre Auckland--Countdown Airport--Distribution Centre Auckland,250.88125000000005,SR1,1.115027777777778
Distribution Centre Auckland--Countdown Mangere East--Distribution Centre Auckland,166.36124999999998,SR1,0.7393833333333333
Distribution Centre Auckland--Countdown Mangere Mall--Distribution Centre Auckland,167.02562500000002,SR1,0.7423361111111112
Distribution Centre Auckland--Countdown Manukau--Distribution Centre Auckland,316.02624999999995,SR1,1.404561111111111
Distribution Centre Auckland--Countdown Manukau Mall--Distribution Centre Auckland,246.200625,SR1,1.094225
Distribution Centre Auckland--Countdown Manurewa--Distribution Centre Auckland,256.48499999999996,SR1,1.1399333333333332
Distribution Centre Auckland--Countdown Papakura--Distribution Centre Auckland,435.16375,SR1,1.934061111111111
Distribution Centre Auckland--Countdown Papatoetoe--Distribution Centre Auckland,189.705,SR1,0.8431333333333334
Distribution Centre Auckland--Countdown Takanini--Distribution Centre Auckland,339.3375,SR1,1.5081666666666667
Distribution Centre Auckland--Countdown Airport--Countdown Mangere East--Distribution Centre Auckland,389.18875,SR1,1.729727777777778
Distribution Centre Auckland--Countdown Airport--Countdown Mangere Mall--Distribution Centre Auckland,373.061875,SR1,1.6580527777777776
Distribution Centre Auckland--Countdown Airport--Countdown Manukau--Distribution Centre Auckland,524.6737499999999,SR1,2.331883333333333
Distribution Centre Auckland--Countdown Airport--Countdown Manukau Mall--Distribution Centre Auckland,455.3725,SR1,2.023877777777778
Distribution Centre Auckland--Countdown Airport--Countdown Manurewa--Distribution Centre Auckland,460.99625,SR1,2.048872222222222
Distribution Centre Auckland--Countdown Airport--Countdown Papakura--Distribution Centre Auckland,644.335625,SR1,2.863713888888889
Distribution Centre Auckland--Countdown Airport--Countdown Papatoetoe--Distribution Centre Auckland,406.455,SR1,1.8064666666666667
Distribution Centre Auckland--Countdown Airport--Countdown Takanini--Distribution Centre Auckland,548.5087500000001,SR1,2.437816666666667
Distribution Centre Auckland--Countdown Mangere East--Countdown Mangere Mall--Distribution Centre Auckland,299.67312499999997,SR1,1.3318805555555555
Distribution Centre Auckland--Countdown Mangere East--Countdown Manukau--Distribution Centre Auckland,438.67499999999995,SR1,1.9496666666666664
Distribution Centre Auckland--Countdown Mangere East--Countdown Manukau Mall--Distribution Centre Auckland,368.849375,SR1,1.6393305555555555
Distribution Centre Auckland--Countdown Mangere East--Countdown Manurewa--Distribution Centre Auckland,379.13375,SR1,1.685038888888889
Distribution Centre Auckland--Countdown Mangere East--Countdown Papakura--Distribution Centre Auckland,557.8125,SR1,2.4791666666666665
Distribution Centre Auckland--Countdown Mangere East--Countdown Papatoetoe--Distribution Centre Auckland,313.2225,SR1,1.3921000000000001
Distribution Centre Auckland--Countdown Mangere East--Countdown Takanini--Distribution Centre Auckland,461.98625,SR1,2.053272222222222
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manukau--Distribution Centre Auckland,445.25374999999997,SR1,1.9789055555555555
Distribution Centre Auckland--Countdown Mangere Mall--Countdown Manukau Mall--Distribution Centre Auckland,375.42812499999997,SR1,1.6685694444444443
